Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
pl,bystrzyca klodzka,50.298252000000005,16.653029,24.35,92,80,2.37
ph,lapuyan,7.6379,123.1944,81.36,95,44,3.38
lt,palanga,55.9175,21.068611100000002,8.1,52,32,3.94
ro,tisau,45.166667,26.516666999999998,17.55,74,20,2.37
cn,chengzihe,45.333333,131.066667,0.59,51,0,12.44
th,krabi,8.072574000000001,98.910516,80.67,88,20,5.82
in,gola bazar,26.343056,83.355278,55.08,85,0,3.15
hn,la masica,15.616666699999998,-87.1166667,71.6,94,75,1.7
cz,plzen,49.75,13.366667000000001,34.59,100,90,2.37
ro,magura ilvei,47.383333,24.8,20.07,89,64,1.92
it,ruffano,39.983333,18.25,44.42,93,40,3.36
in,sidhpura,27.633333,78.883333,51.21,86,0,2.71
de,pegnitz,49.756389,11.545,37.4,100,90,4.05
ca,mont-joli,48.583333,-68.18333299999999,-5.75,77,5,10.29
br,rondonopolis,-16.466667,-54.63333299999999,71.51,97,12,2.71
in,gulaothi,28.6,77.783333,48.2,100,90,4.7
mt,marsaxlokk,35.841944,14.543056,55.4,62,75,5.82
us,lexington-fayette,38.0497222,-84.45861109999998,46.99,36,1,12.75
us,steubenville,40.3697222,-80.63416670000001,40.98,36,1,10.29
ru,yarkovo,54.8056,82.5989,-29.21,73,0,4.47
al,bulqize,41.4916667,20.221944399999998,28.4,86,0,4.7
de,harsum,52.216667,9.966667,40.55,86,75,5.82
ws,taga,-13.766666699999998,-172.4666667,39.2,51,40,11.41
us,moses lake,47.1302778,-119.27694440000002,39.13,65,90,9.17
ph,malaiba,10.333333,123.316667,82.76,91,48,7.18
ru,kyzyl,51.7,94.45,-45.41,0,20,2.48
fr,le portel,50.705587,1.5757450000000002,34.16,93,90,2.24
us,portland,43.6613889,-70.25583329999999,44.37,81,90,6.93
in,bilsanda,28.25,79.95,49.68,89,0,3.15
do,santiago,19.45,-70.7,66.2,52,0,8.05
br,batatais,-20.883333,-47.616667,73.4,88,0,5.82
ro,floresti,45.05,25.783333,5.67,92,36,6.17
it,monsummano terme,43.866667,10.816667,42.82,93,75,1.12
de,oberasbach,49.433333000000005,10.95,39.56,93,75,4.7
ru,povarovo,56.066667,37.05,17.47,79,0,11.18
co,elias,2.0116959999999997,-75.939685,67.1,91,56,12.66
dk,hundested,55.966667,11.866667,39.2,93,68,8.05
bg,vraca,43.21,23.5625,24.8,100,20,3.15
jp,ono,35.983333,136.48333300000002,35.6,51,75,17.22
cz,stara ves nad ondrejnici,49.726075,18.19404,29.97,80,75,2.24
ru,sherbakul,54.631585,72.39635200000001,-22.73,35,20,2.93
de,wolfen,51.666667,12.283333,41,100,90,3.36
in,mahbubabad,17.616667,80.016667,66.56,62,0,2.48
in,ambagarh chauki,20.783333,80.716667,56.84,49,0,7.63
ph,salcedo,12.810516,121.46741499999999,69.8,100,75,3.71
ru,zhitnevo,55.342327000000004,37.914637,15.8,85,40,8.95
ca,picton,44.016667,-77.15,71.6,83,32,12.75
am,nor gyukh,40.2666667,44.656388899999996,33.8,87,90,2.15
id,weru,-6.711,108.5037,58.64,89,0,2.04
ru,verkhnebakanskiy,44.842789,37.664118,24.8,92,0,22.37
mx,zacatepec,16.766667,-97.983333,49.86,94,88,1.36
it,poggibonsi,43.466667,11.15,51.21,93,75,1.12
co,el carmen,5.887778,-75.164167,67.84,100,75,3.36
ph,guinayangan,13.8971,122.454,80.6,94,88,5.06
no,hoyanger,61.216667,6.0833330000000005,33.8,97,0,12.75
sn,fatick,14.333333300000001,-16.4166667,70.7,26,56,2.24
