User,Tweet Count,Tweet Text,Date,Compound,Positive,Neutral,Negative
@BBC,0,"A young woman investigates the historic disappearance of a girl from a small Welsh village, unraveling her own iden… https://t.co/AIDZipzjwH",2018-02-02 20:04:03+00:00,0.0,0.0,0.0,1.0
@BBC,1,"Tonight, @NigelSlater cooks and eats with the people of Lebanon as he discovers the secrets of the world's oldest c… https://t.co/1Rej75YenD",2018-02-02 19:32:04+00:00,0.0,0.0,0.0,1.0
@BBC,2,"? Ever heard of the Russian martial art 'Systema'?

#McMafia | Sundays 9pm | @BBCOne https://t.co/VUgqTDg06A",2018-02-02 19:00:07+00:00,0.0,0.0,0.0,1.0
@BBC,3,"?? When toast gets really tasty...

Here are nine ways to turn toast into a satisfying meal.
?… https://t.co/OIKqSyHPuM",2018-02-02 18:30:06+00:00,0.4588,0.15,0.0,0.85
@BBC,4,"'Oh hey............ man.'

? When you run into someone you used to know at school. https://t.co/K49xzg5hKQ",2018-02-02 17:31:01+00:00,0.0,0.0,0.0,1.0
@BBC,5,"?THAT'S MY JAM!

(? Sound on for this one!)
#FridayFeeling https://t.co/eUNZq3mi2O",2018-02-02 16:00:08+00:00,0.0,0.0,0.0,1.0
@BBC,6,"RT @BBCR1: What would you say to your favourite band in the world?

Stephanie gets a special message from @BTS_twt, whose music inspired he…",2018-02-02 15:26:30+00:00,0.7096,0.219,0.0,0.781
@BBC,7,"RT @bbcgetinspired: Tag your mates, start your own five-a-side team and sign up for the #FAPeoplesCup ? https://t.co/IEW5sKzv9F

@SamanthaQ…",2018-02-02 15:25:20+00:00,0.0,0.0,0.0,1.0
@BBC,8,"RT @BBCOne: All is not what it seems…
Question EVERYTHING.

? #Requiem • 9pm • BBC One
? https://t.co/2qvuR1whES https://t.co/rK5WdlK7vv",2018-02-02 14:43:00+00:00,0.0,0.0,0.0,1.0
@BBC,9,RT @bbcthree: Katie went from being a cheerleader to becoming one of the world's most recognisable freerunners. https://t.co/qs0PefQ1S3,2018-02-02 14:42:56+00:00,0.2263,0.106,0.0,0.894
@BBC,10,"?Missing #Winterwatch already?

Head to the BBC homepage to find a selection of @ChrisGPackham’s favourite moments… https://t.co/cEYJ6tNw8p",2018-02-02 14:30:05+00:00,0.0,0.0,0.0,1.0
@BBC,11,"RT @BBCSportWales: .@Nigelrefowens commands respect on the rugby field.

But does he need an agent? ?

This is ""Nige"" - Chapter 1: The Reun…",2018-02-02 14:03:25+00:00,0.4767,0.129,0.0,0.871
@BBC,12,"??? How to live life like a hedonist. 
? https://t.co/Dg8w8YHztM https://t.co/iUAgQZMLGH",2018-02-02 14:00:09+00:00,0.3612,0.238,0.0,0.762
@BBC,13,"? It’s long been thought that the ability to roll your tongue is a clear-cut case of genetics. 

@BBC_Future finds… https://t.co/Xs37m1gp6A",2018-02-02 13:30:09+00:00,0.3182,0.113,0.0,0.887
@BBC,14,"? Why do we say 'hello'? 
? Dr Laura Wright explains the origins of the word.
? https://t.co/CWWSObbDLz https://t.co/6YaSSOdTxd",2018-02-02 13:04:04+00:00,0.0,0.0,0.0,1.0
@BBC,15,Four things you'll only know if you play netball. ? https://t.co/w2Nd81iWmK,2018-02-02 12:30:02+00:00,0.34,0.211,0.0,0.789
@BBC,16,"??? #AnimalsWithCameras: Capturing the secrets of the wild. 
? https://t.co/0rEkuFUv93 https://t.co/nvV9jgqXHe",2018-02-02 12:00:06+00:00,0.0,0.0,0.0,1.0
@BBC,17,"RT @BBCOne: When penguins... HONK!... interrupt... HONK!... your TV interview... HONK! ? ? 

#AnimalsWithCameras. Thursdays at 8pm on @BBCO…",2018-02-02 11:42:04+00:00,0.0,0.0,0.0,1.0
@BBC,18,? Not everyone is upset that parts of Paris are still under water. https://t.co/5piIQ5YiPn,2018-02-02 09:42:20+00:00,-0.3818,0.0,0.178,0.822
@BBC,19,"RT @bbcweather: It's #GroundhogDay today. If a groundhog emerges from his burrow and sees his shadow, legend has it winter will continue fo…",2018-02-02 09:38:47+00:00,0.0,0.0,0.0,1.0
@BBC,20,"A young woman investigates the historic disappearance of a girl from a small Welsh village, unraveling her own iden… https://t.co/AIDZipzjwH",2018-02-02 20:04:03+00:00,0.0,0.0,0.0,1.0
@BBC,21,"Tonight, @NigelSlater cooks and eats with the people of Lebanon as he discovers the secrets of the world's oldest c… https://t.co/1Rej75YenD",2018-02-02 19:32:04+00:00,0.0,0.0,0.0,1.0
@BBC,22,"? Ever heard of the Russian martial art 'Systema'?

#McMafia | Sundays 9pm | @BBCOne https://t.co/VUgqTDg06A",2018-02-02 19:00:07+00:00,0.0,0.0,0.0,1.0
@BBC,23,"?? When toast gets really tasty...

Here are nine ways to turn toast into a satisfying meal.
?… https://t.co/OIKqSyHPuM",2018-02-02 18:30:06+00:00,0.4588,0.15,0.0,0.85
@BBC,24,"'Oh hey............ man.'

? When you run into someone you used to know at school. https://t.co/K49xzg5hKQ",2018-02-02 17:31:01+00:00,0.0,0.0,0.0,1.0
@BBC,25,"?THAT'S MY JAM!

(? Sound on for this one!)
#FridayFeeling https://t.co/eUNZq3mi2O",2018-02-02 16:00:08+00:00,0.0,0.0,0.0,1.0
